datetime;open;high;low;close;volume
2015-01-05;264.72;278.32;262.89;274.84;14995382.75
2015-01-06;274.84;285.11;271.52;282.27;6097640.43
2015-01-07;282.27;296.06;280.74;291.34;8827164.0
2015-01-08;291.34;292.71;278.99;282.69;5796312.29
2015-01-09;282.69;290.59;277.28;287.97;5963203.51
2015-01-10;287.97;289.25;271.98;273.35;4147357.05
2015-01-11;273.35;278.01;263.76;264.77;4122751.52
2015-01-12;264.77;273.08;263.3;269.33;6899315.98
2015-01-13;269.33;269.1;217.1;221.29;22745960.68
2015-01-14;221.29;230.86;157.29;164.92;32911586.21
2015-01-15;164.92;231.26;164.55;209.78;25672423.81
2015-01-16;209.78;222.63;198.72;206.92;13208882.23
2015-01-17;206.92;212.59;191.71;199.65;8685194.65
2015-01-18;199.65;220.73;192.51;210.62;8429486.11
2015-01-19;210.62;219.48;205.47;215.87;6744459.25
2015-01-20;215.87;216.57;203.42;210.55;7926400.72
2015-01-21;210.55;229.32;207.11;228.17;9390361.66
2015-01-22;228.17;238.78;225.57;232.7;12508308.9
2015-01-23;232.7;236.97;224.84;232.17;8855407.23
2015-01-24;232.17;248.88;229.58;248.16;8011743.34
2015-01-25;248.16;256.43;241.36;252.09;12509649.52
2015-01-26;252.09;310.91;251.5;269.18;29806496.64
2015-01-27;269.18;276.9;247.26;263.27;13130803.27
2015-01-28;263.27;267.66;228.06;236.17;15880595.92
2015-01-29;236.17;241.51;220.36;233.99;12723448.2
2015-01-30;233.99;244.83;227.19;231.84;11316575.19
2015-01-31;231.84;235.36;216.46;218.51;9645307.86
2015-02-01;218.51;231.44;209.71;225.29;9058010.18
2015-02-02;225.29;242.51;220.53;238.86;8965813.6
2015-02-03;238.86;247.48;223.91;227.41;15000263.95
2015-02-04;227.41;230.71;220.23;226.58;12495299.13
2015-02-05;226.58;229.85;214.35;216.52;9055713.16
2015-02-06;216.52;226.16;215.65;222.96;11628519.32
2015-02-07;222.96;231.0;222.38;227.68;9046632.13
2015-02-08;227.68;230.23;219.5;223.67;6564922.66
2015-02-09;223.67;225.0;215.66;220.34;20192733.61
2015-02-10;220.34;222.19;214.44;219.67;18877297.99
2015-02-11;219.67;223.53;217.28;218.83;15909377.35
2015-02-12;218.83;223.0;217.3;221.79;11084499.87
2015-02-13;221.79;241.58;220.62;236.17;26243104.7
2015-02-14;236.17;261.25;235.38;258.64;33313626.71
2015-02-15;258.64;264.57;226.56;233.27;43921119.98
2015-02-16;233.27;240.03;228.01;235.83;27187677.11
2015-02-17;235.83;247.17;232.03;243.2;27926884.82
2015-02-18;243.2;245.51;231.7;235.2;23813015.67
2015-02-19;235.2;244.11;234.87;241.92;15852470.09
2015-02-20;241.92;247.76;238.83;244.52;20434846.7
2015-02-21;244.52;247.32;242.65;244.41;10570761.56
2015-02-22;244.41;246.54;232.72;235.73;18107359.63
2015-02-23;235.73;240.06;231.33;238.82;14856549.49
2015-02-24;238.82;240.25;235.5;238.89;10787951.21
2015-02-25;238.89;239.64;234.59;237.33;9092357.66
2015-02-26;237.33;238.17;233.5;236.53;12064967.48
2015-02-27;236.53;258.72;235.7;253.47;42282820.69
2015-02-28;253.47;255.4;248.73;254.06;9999594.97
2015-03-01;254.06;260.65;244.77;257.94;12964061.92
2015-03-02;257.94;274.8;256.15;273.75;21562624.62
2015-03-03;273.75;287.06;266.12;280.65;45650597.34
2015-03-04;280.65;284.47;265.91;271.92;38656923.75
2015-03-05;271.92;280.84;262.81;275.23;33599454.28
2015-03-06;275.23;277.99;269.02;272.56;27014943.36
2015-03-07;272.56;278.25;269.41;274.91;16708000.42
2015-03-08;274.91;278.78;271.31;274.49;13902830.08
2015-03-09;274.49;293.26;273.79;290.02;43259194.28
2015-03-10;290.02;300.96;288.12;291.37;46657647.9
